상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
20810221,맛생맛사,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11140,중구,1114055000,명동,1114011000,수표동,1.11401E+18,1,대지,56,12,서울특별시 중구 수표동 56-12,1.11404E+11,서울특별시 중구 을지로9길,16,,1.11401E+24,,서울특별시 중구 을지로9길 16,100230,4542,,1,,126.98849,37.56698417
20468954,로얄식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11140,중구,1114064500,청구동,1114016200,신당동,1.11402E+18,1,대지,370,17,서울특별시 중구 신당동 370-17,1.11404E+11,서울특별시 중구 다산로14길,6,,1.11402E+24,로얄빌딩,서울특별시 중구 다산로14길 6,100450,4590,,,,127.0118184,37.55595473
20613530,은하노래광장주점,,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,I56211,일반유흥 주점업,11,서울특별시,11140,중구,1114067000,황학동,1114016500,황학동,1.11402E+18,1,대지,632,,서울특별시 중구 황학동 632,1.11404E+11,서울특별시 중구 퇴계로87길,15,12,1.11402E+24,,서울특별시 중구 퇴계로87길 15-12,100869,4576,,2,,127.0204892,37.56623583
25831772,리나스,숭례문점,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점,I56191,제과점업,11,서울특별시,11140,중구,1114054000,회현동,1114011900,봉래동1가,1.11401E+18,1,대지,4,2,서울특별시 중구 봉래동1가 4-2,1.11403E+11,서울특별시 중구 칠패로,46,,1.11401E+24,우남빌딩,서울특별시 중구 칠패로 46,100161,4512,,,,126.9740123,37.55954278
20489263,던킨도너츠,시청역점,Q,음식,Q07,패스트푸드,Q07A06,도너츠전문,I56191,제과점업,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11401E+18,1,대지,360,1,서울특별시 중구 태평로2가 360-1,1.11402E+11,서울특별시 중구 세종대로,93,,1.11401E+24,광학빌딩,서울특별시 중구 세종대로 93,100102,4515,,1,,126.9766131,37.56469228
19975024,명진,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11140,중구,1114066500,동화동,1114016200,신당동,1.11402E+18,1,대지,52,278,서울특별시 중구 신당동 52-278,1.11404E+11,서울특별시 중구 다산로38길,66,45,1.11402E+24,,서울특별시 중구 다산로38길 66-45,100456,4584,,2,,127.0186647,37.56121087
25822279,약수동해물텀벙,,Q,음식,Q03,일식/수산물,Q03A05,해물찜/탕전문,I56111,한식 음식점업,11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,372,13,서울특별시 중구 신당동 372-13,1.11403E+11,서울특별시 중구 동호로,173,,1.11402E+24,,서울특별시 중구 동호로 173,100840,4597,,,,127.0110343,37.55362347
20493592,옛날홍두깨손칼국수,,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,11,서울특별시,11140,중구,1114063500,약수동,1114016200,신당동,1.11402E+18,1,대지,366,2,서울특별시 중구 신당동 366-2,1.11404E+11,서울특별시 중구 다산로8길,20,,1.11402E+24,새마을금고,서울특별시 중구 다산로8길 20,100450,4597,,2,,127.0106078,37.55249359
20376411,전주식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11140,중구,1114054000,회현동,1114011200,남창동,1.11401E+18,1,대지,1,1,서울특별시 중구 남창동 1-1,1.11403E+11,서울특별시 중구 남대문로,30,,1.11401E+24,GOOD&GOOD상동교회,서울특별시 중구 남대문로 30,100804,4529,,2,,126.9790315,37.56082973
20662836,진미탕가,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,11,서울특별시,11140,중구,1114060500,을지로동,1114015000,을지로4가,1.11402E+18,1,대지,167,2,서울특별시 중구 을지로4가 167-2,1.11404E+11,서울특별시 중구 을지로28길,1,6,1.11402E+24,,서울특별시 중구 을지로28길 1-6,100848,4547,,,,126.9994564,37.56631174
